sample_id,file_name,content_type,agent,agent_score,confidence,evidence,weakness
image_01,1.png,写实风景,RelevanceAgent,81.25,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_01,1.png,写实风景,TechnicalAgent,86.52992452753783,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_01,1.png,写实风景,StructureAgent,63.644448941051834,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_01,1.png,写实风景,AestheticOrReadabilityAgent,58.54239321415253,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_01,1.png,写实风景,SafetyAndTrustAgent,98.42422809999844,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_01,1.png,写实风景,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_02,2.png,人物肖像,RelevanceAgent,76.25,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_02,2.png,人物肖像,TechnicalAgent,81.3128820694612,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_02,2.png,人物肖像,StructureAgent,49.37385331061691,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_02,2.png,人物肖像,AestheticOrReadabilityAgent,63.52656766346375,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_02,2.png,人物肖像,SafetyAndTrustAgent,100.0,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_02,2.png,人物肖像,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_03,3.png,艺术插画,RelevanceAgent,62.5,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_03,3.png,艺术插画,TechnicalAgent,76.64973667930578,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_03,3.png,艺术插画,StructureAgent,52.59847533492832,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_03,3.png,艺术插画,AestheticOrReadabilityAgent,59.17162705979047,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_03,3.png,艺术插画,SafetyAndTrustAgent,99.99926875,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_03,3.png,艺术插画,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_04,4.png,动态街景,RelevanceAgent,76.25,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_04,4.png,动态街景,TechnicalAgent,82.21494361006444,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_04,4.png,动态街景,StructureAgent,65.18404118016502,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_04,4.png,动态街景,AestheticOrReadabilityAgent,66.21452868679074,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_04,4.png,动态街景,SafetyAndTrustAgent,99.77793333333334,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_04,4.png,动态街景,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_05,5.jpg,写实风景,RelevanceAgent,90.00000000000001,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_05,5.jpg,写实风景,TechnicalAgent,86.3372041151669,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_05,5.jpg,写实风景,StructureAgent,67.51494867410413,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_05,5.jpg,写实风景,AestheticOrReadabilityAgent,66.74551306074883,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_05,5.jpg,写实风景,SafetyAndTrustAgent,88.04627812663225,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_05,5.jpg,写实风景,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_06,6.jpg,人物插画,RelevanceAgent,76.25,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_06,6.jpg,人物插画,TechnicalAgent,86.73086957106344,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_06,6.jpg,人物插画,StructureAgent,71.96208125377946,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_06,6.jpg,人物插画,AestheticOrReadabilityAgent,58.07840903255437,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
