indicator,weight,method
semantic_proxy_score,0.062415914441718665,Entropy
sharpness_score,0.10752736360025698,Entropy
nss_score,0.0737101474297997,Entropy
noise_inverse_score,0.0837949341840989,Entropy
artifact_inverse_score,0.07865019151835875,Entropy
edge_continuity_score,0.05993025587183554,Entropy
shape_regularity_score,0.07129262103396576,Entropy
structure_integrity_score,0.06393677797910664,Entropy
brightness_balance_score,0.08102435496988857,Entropy
contrast_score,0.04954292506763287,Entropy
color_richness_score,0.080731467568501,Entropy
composition_proxy_score,0.18744304633483655,Entropy
