pair_index,start_frame,end_frame,flow_magnitude_mean,flow_magnitude_std,flow_smoothness_score,histogram_consistency_score,brightness_delta,flow_temporal_delta
1,0,2,0.9750822186470032,1.3442856073379517,0.6358062361666249,0.9982416124090515,0.004859628419268902,
2,2,4,0.608529269695282,1.4445838928222656,0.5481026481631146,0.9997475427867428,0.001280470830307412,0.5501386523246765
3,4,6,0.5072048902511597,1.4268505573272705,0.5339770190210484,0.9992668629078525,0.0017142338416847869,0.36335915327072144
4,6,8,0.5452893972396851,1.368429183959961,0.5726946176615106,0.9992891329625094,0.0015352517550229483,0.2064138501882553
5,8,10,0.8188371062278748,1.7644482851028442,0.6123608759431453,0.9982073003129892,0.0018922173807794929,0.37014901638031006
6,10,12,0.8572316765785217,1.5899399518966675,0.6329108941426265,0.9996079452255598,0.0014905591866376522,0.2541320323944092
7,12,14,0.7911746501922607,1.727444052696228,0.637267034640982,0.9996992137911498,0.0018802953280077084,0.28618356585502625
8,14,16,0.8031930327415466,1.870582938194275,0.6312860287089237,0.9993134169586764,0.00020240256596465445,0.2853156626224518
9,16,18,0.591012179851532,1.5914654731750488,0.5782772407794179,0.9986199041126882,0.0014773662551440525,0.33465731143951416
10,18,20,0.8147087097167969,1.3356757164001465,0.6252788051954984,0.9997013483880659,0.0003107903655289457,0.43727773427963257
11,20,22,0.6824706196784973,1.3106573820114136,0.6239809797209794,0.9991398004805981,5.6039699830534584e-05,0.34042057394981384
12,22,24,0.6916517019271851,1.1827579736709595,0.6149109301310955,0.9982707995403117,0.002629901960784331,0.34070515632629395
13,24,26,1.1860312223434448,1.0338081121444702,0.7126059864344245,0.9972307653063666,0.004237260953764255,0.6415295004844666
14,26,28,0.7539302706718445,1.7062859535217285,0.5758113158961249,0.9996191674258896,0.0014632352941176263,0.8048083186149597
15,28,30,0.6123150587081909,1.774513840675354,0.6151779071781749,0.9997591600440437,9.991527475189388e-05,0.4040834307670593
16,30,32,0.6049569845199585,1.6028367280960083,0.5775272469221125,0.9976808295036954,0.001495854514645345,0.2653052508831024
